dataset,num_components,train_size,test_size,vector_size,g_mean,kappa
TAGS-D1.arff,15,100,50,5,0.711193283062798,0.415146924653683
TAGS-D1.arff,15,100,50,6,0.706904310894123,0.41085264849406
TAGS-D1.arff,15,100,100,2,0.70228210197869,0.405003210459973
TAGS-D1.arff,15,100,100,3,0.700633370749132,0.405202910507119
TAGS-D1.arff,15,100,100,4,0.699027313895916,0.404480246966931
TAGS-D1.arff,15,100,100,5,0.702560575304288,0.405450439021247
TAGS-D1.arff,15,100,100,6,0.699593233366852,0.404408723485607
TAGS-D1.arff,15,100,200,2,0.692284523631195,0.393281952733223
TAGS-D1.arff,15,100,200,3,0.690768991402774,0.394511313544288
TAGS-D1.arff,15,100,200,4,0.688493984684727,0.392265455680717
TAGS-D1.arff,15,100,200,5,0.688060310302826,0.390857802433627
TAGS-D1.arff,15,100,200,6,0.687787933806503,0.391008120456149
ACTIVITY-D1.arff,10,20,50,2,0.889782447157302,0.782859936281115
ACTIVITY-D1.arff,10,20,50,3,0.887163694780746,0.778267757582785
ACTIVITY-D1.arff,10,20,50,4,0.868968212089996,0.762225673726289
ACTIVITY-D1.arff,10,20,50,5,0.879584606639203,0.777363357076103
ACTIVITY-D1.arff,10,20,50,6,0.871874006844035,0.765904760457832
ACTIVITY-D1.arff,10,20,100,2,0.883405649942761,0.784016074760963
ACTIVITY-D1.arff,10,20,100,3,0.884659394710867,0.77544715454558
ACTIVITY-D1.arff,10,20,100,4,0.871504922522379,0.76859955620114
ACTIVITY-D1.arff,10,20,100,5,0.874882963519606,0.773792808798829
ACTIVITY-D1.arff,10,20,100,6,0.878911380885544,0.775454927171626
ACTIVITY-D1.arff,10,20,200,2,0.892316641493205,0.789125219215167
ACTIVITY-D1.arff,10,20,200,3,0.888668809158945,0.786457178770681
ACTIVITY-D1.arff,10,20,200,4,0.887854666366898,0.783261102126596
ACTIVITY-D1.arff,10,20,200,5,0.885186178897696,0.782929069164062
ACTIVITY-D1.arff,10,20,200,6,0.886594462493827,0.777807783582715
ACTIVITY-D1.arff,10,50,50,2,0.881596253529678,0.772384003147712
ACTIVITY-D1.arff,10,50,50,3,0.898153291514241,0.787497942934706
ACTIVITY-D1.arff,10,50,50,4,0.871501915961806,0.764553543929937
ACTIVITY-D1.arff,10,50,50,5,0.873595366065354,0.765483798555677
ACTIVITY-D1.arff,10,50,50,6,0.892456661415331,0.794848963384103
ACTIVITY-D1.arff,10,50,100,2,0.892097134766313,0.788419987238693
ACTIVITY-D1.arff,10,50,100,3,0.882072331543747,0.780779804368023
ACTIVITY-D1.arff,10,50,100,4,0.884331808308156,0.778041159039476
ACTIVITY-D1.arff,10,50,100,5,0.885046796228467,0.783834397958345
ACTIVITY-D1.arff,10,50,100,6,0.893644423355858,0.782964714902828
ACTIVITY-D1.arff,10,50,200,2,0.876004126928717,0.768024486461339
ACTIVITY-D1.arff,10,50,200,3,0.882030418588481,0.775701118167748
ACTIVITY-D1.arff,10,50,200,4,0.882005354440244,0.773558084410923
ACTIVITY-D1.arff,10,50,200,5,0.883091518489659,0.770649226139438
ACTIVITY-D1.arff,10,50,200,6,0.884192521296483,0.776215391374662
ACTIVITY-D1.arff,10,100,50,2,0.886256039167293,0.778134088312182
ACTIVITY-D1.arff,10,100,50,3,0.891303751156411,0.777383543372519
ACTIVITY-D1.arff,10,100,50,4,0.887789051568652,0.776326846744225
ACTIVITY-D1.arff,10,100,50,5,0.884558394667595,0.774724556613709
ACTIVITY-D1.arff,10,100,50,6,0.875541575527981,0.771153104721363
ACTIVITY-D1.arff,10,100,100,2,0.881570645753789,0.768662576887235
ACTIVITY-D1.arff,10,100,100,3,0.886732583520265,0.785902862609155
ACTIVITY-D1.arff,10,100,100,4,0.880002702300515,0.771058148015167
ACTIVITY-D1.arff,10,100,100,5,0.875992786348813,0.757920355791126
ACTIVITY-D1.arff,10,100,100,6,0.892734533693151,0.779759381190238
ACTIVITY-D1.arff,10,100,200,2,0.888437744546823,0.780838392187978
ACTIVITY-D1.arff,10,100,200,3,0.892923918457576,0.781724571076158
ACTIVITY-D1.arff,10,100,200,4,0.892489257219896,0.783467161964851
ACTIVITY-D1.arff,10,100,200,5,0.890649319815288,0.777252894103934
ACTIVITY-D1.arff,10,100,200,6,0.88989148411516,0.77005952808255
DJ30-D1.arff,10,20,50,2,0.989537034638429,0.982164754429222
DJ30-D1.arff,10,20,50,3,0.990232202615999,0.982326334188007
DJ30-D1.arff,10,20,50,4,0.990786207271125,0.983320671079129
DJ30-D1.arff,10,20,50,5,0.990647862477258,0.983046442546136
DJ30-D1.arff,10,20,50,6,0.991353709890658,0.984581588391941
DJ30-D1.arff,10,20,100,2,0.989979166169858,0.982512962089721
DJ30-D1.arff,10,20,100,3,0.988861811810433,0.980969976565043
DJ30-D1.arff,10,20,100,4,0.990404873867335,0.982821595719626
DJ30-D1.arff,10,20,100,5,0.991659264869147,0.984631944655459
DJ30-D1.arff,10,20,100,6,0.990009357420193,0.981624105398751
DJ30-D1.arff,10,20,200,2,0.989161859159882,0.979844474080414
DJ30-D1.arff,10,20,200,3,0.990738915559459,0.983354902279293
DJ30-D1.arff,10,20,200,4,0.991161699645571,0.984092606268187
DJ30-D1.arff,10,20,200,5,0.990468109957876,0.983190446198249
DJ30-D1.arff,10,20,200,6,0.991866086564833,0.98484748372483
DJ30-D1.arff,10,50,50,2,0.984975067343353,0.97456791341314
DJ30-D1.arff,10,50,50,3,0.985538116499454,0.975698388018926
DJ30-D1.arff,10,50,50,4,0.987799037731434,0.978774818464405
DJ30-D1.arff,10,50,50,5,0.989785969334796,0.981301147341443
DJ30-D1.arff,10,50,50,6,0.98857181017447,0.979743341742915
DJ30-D1.arff,10,50,100,2,0.983491865541304,0.972156828457573
DJ30-D1.arff,10,50,100,3,0.98848863033018,0.979732578558467
DJ30-D1.arff,10,50,100,4,0.989949272112214,0.981837314365432
DJ30-D1.arff,10,50,100,5,0.9847151281178,0.974649503904988
DJ30-D1.arff,10,50,100,6,0.98661739294401,0.976968578227558
DJ30-D1.arff,10,50,200,2,0.985330531631763,0.975381095271179
DJ30-D1.arff,10,50,200,3,0.987657706369107,0.978210168584659
DJ30-D1.arff,10,50,200,4,0.990031440126305,0.982132177999476
DJ30-D1.arff,10,50,200,5,0.985359601650811,0.975709706455199
DJ30-D1.arff,10,50,200,6,0.988908448794688,0.980766173936785
DJ30-D1.arff,10,100,50,2,0.984573658478901,0.972455806077846
DJ30-D1.arff,10,100,50,3,0.986128919606636,0.974888540198315
DJ30-D1.arff,10,100,50,4,0.98683176101732,0.976489567305352
DJ30-D1.arff,10,100,50,5,0.981241532461808,0.969389035049833
DJ30-D1.arff,10,100,50,6,0.98921542678848,0.979009357972531
DJ30-D1.arff,10,100,100,2,0.986979810953614,0.976592319637832
DJ30-D1.arff,10,100,100,3,0.982279398798946,0.969640909463186
DJ30-D1.arff,10,100,100,4,0.98631872393244,0.975553758664352
DJ30-D1.arff,10,100,100,5,0.984268712945876,0.972688939244945
DJ30-D1.arff,10,100,100,6,0.983498167420794,0.971624183778829
DJ30-D1.arff,10,100,200,2,0.987163218845875,0.976750524645618
DJ30-D1.arff,10,100,200,3,0.987313030035465,0.976713598847797
